DEPT,RDEEP_1,RSHAL_1,RMICRO_1,DENB_1,CALI_1,NEUT_1,GR_1,SP_1,DTCOMP_1,PEF_1,DTSH_1
1530.858,6.2529,5.3067,3.6128,2.4109,12.1916,0.2242,74.4451,-76.375,99.149,7.2073,180.5795
1531.0104,6.0746,5.2228,3.6702,2.4436,12.2506,0.2228,73.9273,-76.4375,98.6753,7.753,177.6174
1531.1628,5.6974,4.9021,2.8941,2.4136,12.2399,0.2445,74.2837,-76.8125,98.536,8.8368,175.8389
1531.3152,5.5549,4.7191,1.4165,2.3804,12.088,0.2485,70.4146,-77.1875,100.6971,8.8856,173.7092
1531.4676,5.4414,4.5366,2.6117,2.3578,12.0808,0.255,71.6375,-77.5625,101.8631,8.5883,174.6501
1531.62,5.7023,4.6942,1.3731,2.3057,12.0808,0.2575,72.8413,-78.125,102.641,8.3682,175.6983
1531.7724,6.0674,4.9446,1.2687,2.2521,12.0832,0.2739,71.4736,-78.5625,104.8665,8.6234,176.5063
1531.9248,5.9217,4.8234,1.0715,2.2275,12.0782,0.2777,71.5952,-78.9375,105.4211,8.917,179.9601
1532.0772,5.7189,4.6606,1.6038,2.2601,12.0832,0.2738,69.4868,-79.375,105.745,9.1235,187.9845
1532.2296,5.4513,4.45,1.4412,2.2962,12.0808,0.2735,68.3895,-79.4375,104.7077,9.5031,187.3262
1532.382,5.1635,4.2414,1.536,2.3156,12.0911,0.2644,67.512,-79.4375,103.7375,8.7441,186.7762
1532.5344,4.6638,3.8475,2.0477,2.3179,12.0953,0.2534,67.5541,-79.0625,103.0789,8.4657,185.8979
1532.6868,4.437,3.6766,1.5703,2.3282,12.1222,0.2237,70.8359,-79.125,102.0441,8.2725,189.0532
1532.8392,4.1479,3.4656,2.0225,2.3473,12.0734,0.2239,73.4572,-79.0625,101.0645,9.0301,190.3958
1532.9916,3.9473,3.3024,2.0016,2.3755,12.1014,0.2334,81.7843,-79.0625,100.9122,9.939,191.1491
1533.144,3.915,3.2686,2.2231,2.397,12.1049,0.2513,84.7824,-79.25,99.369,10.1359,191.51
1533.2964,3.8287,3.2114,2.2393,2.4254,12.1219,0.2633,86.4919,-79.875,98.1566,10.2126,184.2382
1533.4488,3.7818,3.1713,1.9944,2.4344,12.175,0.2735,82.2974,-80.25,97.8245,10.6446,178.9594
1533.6012,3.7116,3.0991,2.2699,2.4295,12.0986,0.2675,80.9898,-80.375,98.0015,10.9551,181.685
1533.7536,3.7548,3.1341,1.986,2.3996,12.0904,0.2542,83.2492,-80.625,99.5835,10.8569,183.9015
1533.906,3.8658,3.1948,1.8162,2.3932,12.0808,0.2399,84.5862,-80.875,100.381,9.3227,185.6822
1534.0584,3.8888,3.2317,2.5866,2.3831,12.2326,0.2538,87.6904,-81.3125,100.2125,7.9601,185.585
1534.2108,4.1,3.3977,1.7677,2.3856,12.3557,0.2586,87.0526,-81.625,95.7219,7.5986,183.8705
